Micros,Pin_State,R_Vis_Value,R_940_Value,T_Vis_Value,T_940_Value
4821854,0,4008,4065,3921,2843
4825189,0,3990,4058,3903,2841
4828526,0,3994,4063,3894,2835
4831862,0,3971,4065,3869,2835
4835199,0,3958,4066,3854,2839
4838536,0,3960,4087,3849,2827
4841872,0,3942,4062,3833,2828
4845208,0,3930,4069,3827,2831
4848543,0,3938,4064,3810,2829
4851879,0,3898,4077,3805,2823
4855214,0,3907,4068,3799,2832
4858549,0,3904,4065,3789,2834
4861885,0,3895,4066,3781,2824
4865222,0,3876,4070,3763,2830
4868559,0,3878,4069,3761,2829
4871895,0,3877,4065,3751,2826
4875231,0,3861,4049,3746,2830
4878566,0,3880,4072,3738,2828
4881902,0,3859,4070,3729,2832
4885237,0,3851,4075,3712,2830
4888572,0,3852,4059,3731,2829
4891908,0,3851,4064,3712,2833
4895244,0,3858,4066,3696,2834
4898579,0,3839,4063,3685,2832
4901916,0,3847,4065,3694,2834
4905252,0,3828,4057,3690,2829
4908587,0,3839,4078,3676,2832
4911922,0,3833,4061,3676,2839
4915257,0,3827,4060,3676,2832
4918593,0,3828,4057,3668,2837
4921928,0,3823,4067,3655,2842
4925264,0,3825,4061,3656,2840
4928599,0,3823,4058,3656,2839
4931935,0,3812,4061,3642,2840
4935271,0,3817,4060,3650,2836
4938608,0,3818,4066,3632,2847
4941944,0,3808,4084,3634,2853
4945281,0,3827,4058,3629,2845
4948618,0,3813,4072,3628,2839
4951954,0,3804,4061,3641,2839
4955291,0,3829,4063,3618,2842
4958627,0,3807,4069,3620,2848
4961964,0,3800,4090,3612,2846
4965300,0,3814,4050,3625,2858
4968635,0,3811,4065,3612,2848
4971971,0,3807,4072,3608,2846
4975308,0,3813,4064,3609,2844
4978645,0,3812,4062,3604,2848
4981981,0,3808,4069,3598,2848
4985316,0,3803,4068,3598,2846
4988653,0,3795,4061,3588,2853
4991989,0,3798,4068,3606,2841
4995325,0,3802,4065,3593,2845
4998660,0,3793,4068,3585,2849
5001996,0,3796,4063,3580,2847
5005331,0,3796,4074,3584,2851
5008668,0,3797,4078,3598,2854
5012004,0,3793,4070,3582,2842
5015341,0,3797,4060,3581,2848
5018678,0,3794,4073,3579,2857
5022014,0,3796,4065,3576,2849
5025350,0,3800,4067,3572,2857
5028685,0,3801,4084,3573,2858
5032021,0,3790,4065,3599,2851
5035356,0,3797,4066,3571,2852
5038693,0,3797,4068,3575,2856
5042029,0,3797,4067,3567,2864
5045365,0,3802,4077,3574,2869
5048700,0,3798,4066,3571,2863
5052036,0,3795,4069,3578,2860
5055371,0,3808,4066,3565,2860
5058706,0,3794,4060,3575,2863
5062042,0,3795,4064,3564,2865
5065379,0,3813,4062,3575,2859
5068716,0,3796,4058,3565,2861
5072052,0,3804,4064,3561,2864
5075389,0,3811,4062,3570,2861
5078724,0,3800,4089,3552,2859
5082060,0,3797,4070,3554,2862
5085396,0,3794,4072,3555,2865
5088732,0,3793,4056,3557,2880
5092068,0,3808,4066,3560,2861
5095403,0,3788,4073,3553,2864
5098738,0,3796,4075,3551,2863
5102074,0,3800,4068,3563,2866
5105409,0,3818,4065,3558,2858
5108746,0,3788,4070,3549,2863
5112082,0,3790,4060,3549,2868
5115418,0,3795,4055,3562,2860
5118753,0,3796,4057,3552,2855
5122089,0,3790,4055,3552,2868
5125424,0,3790,4072,3549,2865
5128759,0,3797,4067,3543,2865
5132095,0,3791,4060,3551,2866
5135432,0,3802,4075,3545,2857
5138768,0,3795,4068,3556,2855
5142104,0,3804,4064,3559,2854
5145439,0,3800,4078,3553,2868
5148774,0,3797,4068,3546,2863
5152110,0,3795,4069,3546,2856
5155445,0,3794,4070,3536,2861
5158782,0,3798,4064,3551,2868
5162118,0,3796,4069,3545,2854
5165454,0,3796,4069,3545,2856
