Micros,Pin_State,R_Vis_Value,R_940_Value,T_Vis_Value,T_940_Value
4408587,0,4046,4076,4035,3918
4411922,0,4037,4056,4023,3900
4415258,0,4021,4076,4005,3898
4418594,0,4015,4067,4002,3897
4421930,0,4003,4076,3983,3894
4425266,0,4004,4067,3975,3881
4428602,0,3982,4077,3954,3888
4431938,0,3986,4073,3951,3884
4435277,0,3971,4074,3936,3885
4438614,0,3970,4065,3920,3878
4441950,0,3948,4074,3915,3883
4445286,0,3947,4073,3896,3884
4448621,0,3936,4092,3902,3877
4451956,0,3961,4084,3879,3901
4455292,0,3927,4074,3875,3879
4458629,0,3915,4067,3873,3872
4461965,0,3913,4066,3867,3877
4465302,0,3910,4087,3851,3884
4468638,0,3900,4071,3840,3893
4471973,0,3905,4079,3852,3872
4475309,0,3901,4073,3831,3879
4478644,0,3896,4069,3832,3871
4481981,0,3881,4078,3809,3896
4485317,0,3888,4076,3814,3882
4488652,0,3877,4080,3803,3883
4491989,0,3878,4076,3799,3878
4495325,0,3875,4095,3790,3893
4498660,0,3876,4075,3787,3872
4501997,0,3866,4077,3784,3885
4505332,0,3853,4080,3774,3871
4508667,0,3869,4067,3767,3880
4512004,0,3868,4073,3769,3895
4515340,0,3854,4076,3783,3873
4518675,0,3852,4075,3774,3878
4522012,0,3859,4065,3762,3874
4525348,0,3872,4067,3747,3889
4528685,0,3853,4075,3756,3870
4532021,0,3858,4077,3745,3878
4535357,0,3853,4074,3740,3869
4538692,0,3860,4067,3736,3886
4542029,0,3853,4073,3724,3883
4545365,0,3850,4073,3727,3880
4548702,0,3857,4073,3726,3872
4552037,0,3849,4076,3723,3879
4555373,0,3849,4066,3720,3881
4558709,0,3841,4081,3714,3884
4562046,0,3843,4069,3723,3874
4565382,0,3843,4074,3717,3881
4568719,0,3853,4074,3706,3884
4572055,0,3850,4072,3704,3884
4575392,0,3840,4070,3704,3887
4578728,0,3838,4081,3697,3884
4582063,0,3839,4082,3696,3893
4585399,0,3844,4086,3692,3887
4588734,0,3843,4073,3695,3874
4592071,0,3832,4077,3685,3885
4595407,0,3839,4068,3671,3899
4598742,0,3865,4070,3695,3879
4602078,0,3841,4074,3686,3883
4605415,0,3845,4083,3685,3872
4608752,0,3842,4076,3679,3882
4612088,0,3842,4069,3684,3881
4615424,0,3848,4071,3683,3877
4618759,0,3831,4071,3678,3902
4622094,0,3837,4080,3673,3879
4625430,0,3838,4095,3669,3890
4628765,0,3843,4087,3676,3875
4632101,0,3844,4069,3670,3883
4635438,0,3838,4076,3671,3885
4638774,0,3836,4084,3670,3880
4642109,0,3855,4068,3656,3883
4645445,0,3839,4076,3658,3886
4648780,0,3843,4082,3661,3885
4652117,0,3833,4071,3665,3897
4655453,0,3837,4077,3663,3881
4658790,0,3831,4081,3679,3874
4662126,0,3837,4074,3661,3874
4665463,0,3836,4078,3683,3874
4668800,0,3839,4076,3663,3877
4672136,0,3839,4074,3660,3868
4675473,0,3835,4080,3655,3879
4678810,0,3840,4071,3654,3885
4682146,0,3839,4075,3658,3879
4685482,0,3848,4081,3664,3890
4688817,0,3834,4055,3652,3873
4692154,0,3835,4086,3652,3885
4695490,0,3834,4065,3662,3875
4698825,0,3844,4066,3654,3886
4702161,0,3836,4077,3655,3882
4705498,0,3832,4068,3646,3875
4708835,0,3839,4075,3651,3885
4712171,0,3836,4073,3642,3885
4715507,0,3866,4070,3645,3885
4718842,0,3835,4092,3645,3888
4722177,0,3842,4074,3651,3879
4725513,0,3837,4075,3640,3886
4728848,0,3854,4065,3652,3879
4732184,0,3839,4070,3642,3887
4735521,0,3836,4079,3647,3882
4738857,0,3838,4076,3645,3881
4742192,0,3839,4077,3639,3875
4745527,0,3836,4069,3652,3878
4748862,0,3838,4077,3648,3879
4752199,0,3832,4080,3658,3886
4755535,0,3842,4082,3638,3877
4758872,0,3834,4068,3643,3879
4762208,0,3841,4071,3650,3897
4765544,0,3828,4085,3641,3884
4768879,0,3835,4077,3644,3881
4772216,0,3850,4073,3638,3881
4775552,0,3821,4089,3637,3876
4778887,0,3838,4078,3637,3886
4782223,0,3838,4075,3646,3881
4785560,0,3844,4070,3663,3895
4788895,0,3841,4074,3641,3880
4792232,0,3834,4066,3647,3878
4795567,0,3839,4075,3643,3880
4798902,0,3830,4081,3633,3892
4802239,0,3837,4077,3640,3881
4805575,0,3836,4074,3634,3886
4808910,0,3826,4071,3635,3873
4812245,0,3847,4076,3642,3884
4815581,0,3840,4072,3642,3880
4818918,0,3843,4064,3644,3871
4822255,0,3836,4067,3639,3875
4825591,0,3835,4078,3639,3878
4828927,0,3848,4064,3634,3887
4832262,0,3832,4069,3647,3874
4835598,0,3841,4072,3639,3882
4838933,0,3829,4092,3636,3867
4842269,0,3855,4085,3632,3876
4845605,0,3835,4075,3629,3887
4848941,0,3840,4072,3644,3877
4852281,0,3835,4075,3639,3873
4855616,0,3842,4073,3639,3879
4858953,0,3835,4094,3634,3886
4862289,0,3847,4069,3645,3878
4865626,0,3828,4067,3634,3897
4868963,0,3849,4077,3632,3881
4872299,0,3836,4074,3640,3880
4875636,0,3840,4063,3639,3877
4878973,0,3831,4080,3628,3892
4882308,0,3827,4080,3635,3883
4885643,0,3847,4069,3637,3882
4888978,0,3840,4063,3639,3884
4892314,0,3834,4075,3636,3872
4895651,0,3847,4068,3647,3877
4898987,0,3837,4084,3626,3870
4902324,0,3829,4080,3636,3882
4905660,0,3831,4075,3636,3880
4908995,0,3831,4066,3638,3902
4912331,0,3834,4077,3638,3881
4915666,0,3858,4069,3645,3882
4919003,0,3842,4072,3636,3881
4922339,0,3851,4080,3644,3874
4925674,0,3836,4075,3639,3879
4929010,0,3836,4068,3639,3879
4932347,0,3830,4086,3652,3880
4935684,0,3853,4069,3635,3897
4939020,0,3836,4072,3637,3880
4942357,0,3842,4071,3639,3881
4945693,0,3828,4081,3648,3879
4949028,0,3834,4068,3640,3877
4952364,0,3846,4073,3634,3879
4955699,0,3837,4067,3628,3874
4959035,0,3833,4078,3634,3886
4962372,0,3834,4067,3632,3885
4965709,0,3837,4063,3656,3876
4969045,0,3837,4074,3631,3891
4972381,0,3831,4079,3635,3881
4975716,0,3834,4076,3628,3884
4979053,0,3837,4074,3630,3909
4982389,0,3836,4067,3641,3879
4985726,0,3833,4079,3636,3885
4989061,0,3830,4067,3630,3876
4992397,0,3862,4070,3642,3891
4995732,0,3857,4069,3641,3881
4999068,0,3836,4078,3634,3890
