Micros,Pin_State,R_Vis_Value,R_940_Value,T_Vis_Value,T_940_Value
6702134,0,4056,4077,4030,3916
6705474,0,4045,4075,4026,3904
6708809,0,4024,4075,4007,3886
6712144,0,4011,4074,3996,3897
6715480,0,3999,4080,3979,3890
6718815,0,4000,4076,3972,3887
6722151,0,3976,4070,3955,3885
6725488,0,3973,4079,3964,3876
6728824,0,3961,4072,3928,3886
6732159,0,3950,4069,3941,3880
6735495,0,3946,4089,3925,3875
6738830,0,3948,4073,3906,3883
6742165,0,3928,4081,3890,3885
6745501,0,3920,4095,3878,3872
6748838,0,3921,4075,3870,3881
6752174,0,3913,4094,3885,3883
6755510,0,3914,4071,3865,3882
6758845,0,3913,4072,3855,3877
6762180,0,3894,4071,3854,3866
6765516,0,3897,4076,3828,3884
6768851,0,3900,4075,3840,3877
6772187,0,3901,4075,3827,3879
6775524,0,3893,4074,3820,3869
6778860,0,3882,4077,3820,3874
6782195,0,3881,4074,3796,3880
6785531,0,3887,4072,3805,3876
6788866,0,3880,4070,3791,3876
6792203,0,3868,4070,3797,3873
6795539,0,3868,4077,3776,3875
6798874,0,3867,4076,3778,3871
6802210,0,3878,4074,3769,3874
6805547,0,3874,4076,3770,3878
6808884,0,3863,4052,3771,3870
6812220,0,3873,4069,3766,3870
6815556,0,3859,4078,3746,3884
6818891,0,3854,4075,3746,3877
6822228,0,3859,4081,3765,3877
6825564,0,3859,4075,3742,3874
6828899,0,3856,4074,3739,3868
6832235,0,3861,4066,3731,3884
6835572,0,3855,4078,3723,3879
6838909,0,3856,4078,3726,3879
6842245,0,3849,4078,3724,3875
6845582,0,3836,4095,3722,3871
6848919,0,3847,4088,3718,3881
6852255,0,3857,4071,3721,3874
6855592,0,3851,4066,3707,3868
6858928,0,3856,4074,3715,3881
6862263,0,3842,4085,3703,3880
6865599,0,3839,4083,3694,3876
6868934,0,3870,4080,3709,3874
6872269,0,3845,4079,3700,3879
6875605,0,3842,4061,3700,3869
6878940,0,3834,4069,3695,3882
6882275,0,3842,4072,3693,3877
6885612,0,3843,4066,3709,3873
6888948,0,3844,4090,3708,3889
6892285,0,3837,4078,3686,3876
6895621,0,3840,4078,3680,3879
6898958,0,3851,4071,3693,3875
6902295,0,3843,4079,3679,3885
6905631,0,3842,4075,3682,3878
6908968,0,3839,4087,3674,3881
6912303,0,3832,4094,3674,3868
6915639,0,3835,4066,3680,3873
6918975,0,3840,4075,3673,3876
6922310,0,3850,4068,3669,3873
6925646,0,3857,4069,3674,3866
6928981,0,3838,4083,3667,3881
6932316,0,3836,4074,3670,3870
6935652,0,3844,4060,3670,3871
6938989,0,3838,4076,3665,3879
6942325,0,3844,4079,3667,3878
6945662,0,3835,4070,3659,3871
6948999,0,3837,4070,3665,3877
6952335,0,3844,4069,3679,3873
6955671,0,3851,4073,3676,3875
6959006,0,3832,4078,3660,3875
6962341,0,3837,4066,3663,3872
6965677,0,3833,4082,3656,3876
6969014,0,3842,4075,3654,3884
6972351,0,3839,4077,3660,3879
6975687,0,3836,4087,3651,3881
6979024,0,3854,4087,3662,3872
6982361,0,3846,4083,3652,3873
6985697,0,3843,4076,3653,3879
6989034,0,3838,4074,3646,3881
6992370,0,3833,4065,3669,3862
6995707,0,3832,4085,3648,3880
6999043,0,3830,4092,3648,3903
7002378,0,3855,4063,3654,3869
7005713,0,3837,4079,3652,3879
7009048,0,3855,4087,3652,3873
7012384,0,3829,4071,3649,3875
7015721,0,3835,4068,3651,3876
7019057,0,3836,4077,3649,3873
7022392,0,3828,4078,3639,3874
7025728,0,3834,4077,3648,3875
7029063,0,3832,4067,3650,3870
7032400,0,3841,4070,3648,3874
7035735,0,3852,4073,3673,3870
7039072,0,3835,4079,3648,3879
7042409,0,3838,4090,3644,3877
7045746,0,3828,4069,3628,3885
7049082,0,3830,4092,3651,3875
7052417,0,3837,4079,3645,3877
7055753,0,3836,4074,3642,3877
7059088,0,3852,4068,3642,3875
7062423,0,3831,4068,3644,3872
7065758,0,3834,4073,3640,3870
7069095,0,3828,4095,3651,3879
7072431,0,3837,4074,3647,3879
7075767,0,3831,4085,3643,3897
7079103,0,3838,4069,3642,3868
7082438,0,3833,4068,3646,3873
7085774,0,3837,4077,3643,3878
7089109,0,3836,4067,3650,3894
7092444,0,3835,4077,3640,3876
7095780,0,3832,4069,3643,3871
7099117,0,3833,4075,3637,3877
7102453,0,3840,4067,3637,3873
7105788,0,3838,4078,3641,3879
7109123,0,3834,4071,3639,3874
7112460,0,3851,4072,3642,3885
7115796,0,3836,4069,3638,3894
7119131,0,3837,4075,3642,3878
7122468,0,3828,4075,3643,3879
7125804,0,3848,4071,3630,3880
7129141,0,3854,4072,3642,3874
7132477,0,3829,4068,3647,3877
7135812,0,3843,4075,3653,3876
7139147,0,3842,4075,3640,3880
7142484,0,3850,4074,3629,3875
7145820,0,3829,4072,3639,3889
7149155,0,3837,4068,3642,3877
7152491,0,3836,4077,3638,3875
7155826,0,3838,4073,3655,3875
7159163,0,3834,4078,3636,3875
7162499,0,3833,4065,3637,3873
7165836,0,3834,4077,3636,3879
7169172,0,3848,4087,3657,3895
7172508,0,3838,4078,3633,3892
7175843,0,3833,4067,3636,3876
7179180,0,3827,4069,3651,3870
7182516,0,3843,4062,3651,3879
7185851,0,3836,4077,3639,3878
7189187,0,3856,4080,3630,3883
7192524,0,3837,4067,3646,3873
7195861,0,3831,4072,3633,3874
7199198,0,3832,4070,3644,3891
7202534,0,3846,4095,3650,3874
7205871,0,3838,4072,3636,3877
7209207,0,3834,4082,3646,3873
7212544,0,3835,4064,3638,3864
7215881,0,3836,4070,3638,3877
7219217,0,3839,4074,3640,3878
7222553,0,3841,4076,3638,3878
7225888,0,3830,4079,3631,3869
7229223,0,3830,4067,3639,3874
7232559,0,3833,4080,3633,3874
7235894,0,3851,4090,3641,3877
7239230,0,3834,4082,3631,3893
7242567,0,3836,4066,3639,3871
7245903,0,3827,4074,3635,3867
7249238,0,3851,4076,3631,3876
7252574,0,3840,4077,3638,3876
7255909,0,3824,4076,3630,3874
