Micros,Pin_State,R_Vis_Value,R_940_Value,T_Vis_Value,T_940_Value
7910230,0,4056,4089,4035,3940
7913566,0,4060,4083,4025,3940
7916901,0,4026,4075,4008,3938
7920237,0,4010,4079,3986,3930
7923573,0,4007,4084,3973,3918
7926908,0,4000,4076,3962,3927
7930244,0,3981,4072,3958,3925
7933581,0,3989,4079,3942,3920
7936917,0,3970,4075,3935,3921
7940252,0,3955,4077,3917,3946
7943588,0,3948,4054,3917,3919
7946923,0,3950,4074,3906,3921
7950258,0,3942,4075,3896,3914
7953594,0,3934,4078,3878,3917
7956929,0,3927,4078,3878,3915
7960265,0,3928,4073,3873,3914
7963602,0,3916,4095,3857,3921
7966938,0,3918,4082,3864,3929
7970273,0,3907,4063,3842,3914
7973609,0,3905,4074,3833,3917
7976944,0,3914,4062,3829,3915
7980280,0,3904,4073,3819,3912
7983617,0,3891,4077,3818,3905
7986954,0,3890,4069,3808,3944
7990290,0,3897,4066,3821,3908
7993626,0,3879,4076,3799,3902
7996961,0,3877,4076,3810,3907
8000296,0,3890,4067,3786,3936
8003632,0,3870,4074,3785,3914
8006967,0,3871,4075,3778,3914
8010303,0,3861,4085,3787,3907
8013639,0,3872,4071,3769,3913
8016974,0,3874,4075,3765,3913
8020309,0,3864,4074,3758,3919
8023645,0,3859,4072,3750,3924
8026980,0,3856,4084,3748,3913
8030317,0,3855,4077,3746,3912
8033653,0,3860,4084,3760,3921
8036988,0,3861,4083,3732,3909
8040325,0,3850,4077,3736,3913
8043661,0,3844,4081,3729,3912
8046996,0,3854,4064,3737,3925
8050331,0,3849,4078,3724,3910
8053667,0,3860,4075,3740,3909
8057004,0,3848,4094,3727,3924
8060341,0,3845,4079,3715,3913
8063677,0,3863,4071,3709,3909
8067014,0,3843,4074,3707,3920
8070350,0,3846,4075,3710,3911
8073685,0,3844,4076,3697,3917
8077022,0,3839,4084,3700,3911
8080358,0,3842,4065,3701,3907
8083695,0,3839,4073,3699,3906
8087031,0,3845,4072,3695,3914
8090366,0,3832,4067,3687,3907
8093702,0,3834,4095,3685,3915
8097037,0,3841,4075,3690,3916
8100373,0,3835,4079,3678,3934
8103710,0,3836,4070,3691,3914
8107047,0,3841,4075,3686,3912
8110384,0,3843,4073,3684,3908
8113720,0,3835,4095,3681,3911
8117056,0,3842,4074,3682,3913
8120391,0,3846,4059,3687,3924
8123727,0,3833,4080,3673,3919
8127062,0,3830,4077,3675,3913
8130399,0,3832,4076,3669,3914
8133735,0,3829,4060,3673,3920
8137072,0,3836,4068,3677,3910
8140409,0,3834,4076,3665,3920
8143745,0,3833,4076,3668,3912
8147082,0,3839,4087,3667,3922
8150419,0,3835,4075,3682,3910
8153755,0,3839,4072,3666,3914
8157092,0,3835,4085,3671,3927
8160428,0,3836,4068,3678,3917
8163765,0,3825,4078,3656,3920
8167101,0,3821,4071,3675,3910
8170436,0,3833,4073,3654,3914
8173772,0,3830,4079,3659,3916
8177109,0,3830,4069,3652,3899
8180446,0,3855,4085,3653,3909
8183782,0,3847,4071,3662,3912
8187119,0,3826,4082,3652,3919
8190455,0,3839,4062,3677,3905
8193792,0,3836,4074,3646,3918
8197128,0,3836,4075,3654,3926
8200463,0,3830,4070,3660,3913
8203799,0,3831,4095,3661,3928
8207134,0,3831,4078,3657,3913
8210469,0,3831,4068,3655,3913
8213804,0,3831,4066,3643,3910
8217140,0,3829,4066,3637,3922
8220475,0,3834,4076,3657,3913
8223811,0,3838,4066,3654,3903
8227146,0,3829,4067,3654,3910
8230483,0,3831,4074,3650,3908
8233819,0,3828,4072,3661,3916
8237156,0,3827,4090,3641,3917
8240493,0,3833,4074,3648,3905
8243828,0,3826,4081,3654,3914
8247164,0,3826,4069,3650,3928
8250499,0,3829,4078,3647,3914
8253835,0,3825,4077,3645,3917
8257170,0,3833,4074,3649,3914
8260507,0,3835,4071,3648,3913
8263843,0,3829,4077,3645,3913
8267180,0,3830,4074,3647,3909
8270516,0,3829,4062,3643,3909
8273851,0,3830,4070,3640,3921
8277187,0,3829,4077,3646,3903
8280522,0,3824,4080,3641,3908
8283858,0,3827,4071,3642,3921
8287193,0,3832,4075,3643,3912
8290528,0,3839,4064,3650,3926
8293864,0,3838,4071,3638,3919
8297201,0,3833,4076,3644,3915
8300541,0,3843,4067,3653,3938
8303876,0,3827,4077,3650,3906
8307211,0,3823,4082,3641,3921
8310547,0,3830,4078,3631,3919
8313884,0,3847,4072,3634,3928
8317221,0,3832,4071,3648,3910
8320557,0,3831,4077,3636,3917
8323894,0,3837,4071,3642,3915
8327230,0,3825,4069,3654,3905
8330567,0,3835,4075,3638,3916
8333903,0,3834,4074,3643,3914
8337238,0,3825,4073,3637,3910
8340574,0,3832,4087,3637,3903
8343909,0,3837,4073,3639,3913
8347245,0,3826,4082,3637,3911
8350582,0,3827,4066,3651,3913
8353919,0,3827,4077,3640,3916
8357256,0,3831,4067,3654,3927
8360592,0,3824,4068,3656,3913
8363929,0,3832,4066,3641,3913
8367265,0,3858,4067,3625,3916
8370602,0,3829,4065,3643,3906
8373938,0,3830,4070,3643,3916
8377273,0,3832,4075,3639,3904
8380609,0,3833,4076,3638,3915
8383944,0,3831,4065,3641,3906
8387280,0,3831,4075,3638,3911
8390616,0,3831,4079,3638,3914
8393951,0,3830,4075,3631,3907
8397287,0,3847,4080,3638,3911
8400624,0,3821,4080,3634,3916
8403960,0,3827,4083,3629,3920
8407295,0,3831,4089,3652,3909
8410631,0,3832,4066,3642,3913
8413966,0,3838,4082,3653,3914
8417302,0,3833,4081,3646,3907
8420638,0,3833,4073,3637,3918
8423973,0,3828,4067,3639,3908
8427308,0,3847,4069,3632,3910
8430644,0,3833,4074,3627,3922
8433981,0,3833,4074,3635,3929
8437318,0,3829,4065,3643,3911
8440654,0,3832,4078,3632,3917
8443991,0,3835,4076,3637,3913
8447328,0,3823,4081,3632,3916
8450663,0,3825,4068,3629,3909
8454002,0,3835,4083,3631,3909
8457339,0,3849,4075,3639,3913
8460675,0,3840,4075,3636,3906
8464012,0,3839,4070,3628,3900
8467348,0,3845,4074,3642,3912
8470685,0,3826,4082,3630,3911
8474022,0,3826,4082,3634,3916
8477358,0,3831,4067,3639,3910
8480695,0,3841,4079,3631,3934
8484031,0,3826,4071,3660,3914
8487366,0,3829,4077,3655,3911
8490701,0,3835,4072,3636,3913
8494036,0,3846,4077,3632,3906
8497373,0,3832,4073,3635,3929
8500709,0,3836,4072,3638,3914
8504045,0,3833,4089,3633,3920
8507380,0,3829,4069,3650,3924
8510716,0,3830,4084,3633,3915
8514053,0,3833,4073,3627,3921
8517390,0,3831,4081,3635,3910
8520726,0,3829,4079,3630,3912
8524061,0,3832,4067,3636,3912
8527398,0,3831,4076,3625,3915
8530734,0,3831,4069,3625,3918
8534071,0,3833,4072,3627,3917
8537408,0,3826,4089,3644,3909
8540744,0,3835,4069,3632,3911
8544081,0,3835,4074,3637,3918
8547417,0,3837,4088,3630,3910
8550754,0,3829,4053,3636,3915
8554090,0,3832,4076,3635,3915
8557425,0,3829,4084,3636,3915
8560761,0,3832,4075,3628,3915
8564096,0,3834,4073,3628,3945
8567433,0,3830,4083,3634,3919
8570769,0,3832,4074,3630,3918
8574106,0,3839,4081,3644,3928
8577443,0,3843,4077,3627,3926
8580779,0,3833,4074,3632,3915
8584115,0,3843,4071,3627,3917
8587450,0,3838,4070,3633,3943
8590786,0,3836,4075,3637,3915
8594121,0,3826,4071,3629,3923
8597458,0,3824,4083,3648,3914
8600794,0,3829,4077,3633,3917
8604130,0,3818,4072,3630,3945
8607465,0,3829,4082,3630,3898
8610801,0,3830,4076,3633,3917
8614136,0,3850,4071,3639,3915
8617473,0,3820,4083,3637,3916
8620809,0,3829,4077,3633,3914
8624144,0,3833,4066,3640,3914
8627479,0,3830,4077,3633,3916
8630816,0,3842,4074,3642,3925
8634152,0,3833,4075,3627,3902
8637487,0,3832,4076,3634,3920
8640823,0,3829,4089,3656,3905
8644158,0,3832,4067,3651,3917
8647493,0,3823,4080,3631,3916
8650829,0,3839,4072,3650,3910
8654166,0,3825,4070,3637,3908
8657502,0,3832,4065,3640,3912
8660838,0,3843,4079,3625,3932
8664174,0,3829,4082,3631,3911
8667509,0,3835,4065,3639,3913
8670845,0,3840,4068,3638,3933
8674180,0,3847,4071,3642,3931
8677517,0,3832,4075,3630,3919
8680853,0,3833,4074,3634,3910
8684190,0,3825,4080,3630,3915
8687526,0,3837,4068,3626,3933
8690861,0,3833,4075,3637,3928
8694198,0,3826,4078,3632,3916
8697534,0,3823,4071,3631,3919
8700871,0,3825,4061,3632,3910
8704207,0,3830,4066,3635,3914
8707542,0,3823,4083,3626,3919
8710878,0,3830,4067,3638,3903
8714213,0,3834,4078,3632,3917
8717550,0,3826,4084,3634,3910
8720885,0,3831,4064,3647,3926
8724221,0,3835,4073,3627,3921
8727556,0,3837,4080,3641,3927
8730891,0,3836,4085,3628,3909
8734226,0,3833,4078,3633,3904
8737561,0,3839,4069,3636,3913
8740897,0,3832,4075,3634,3916
8744234,0,3830,4076,3635,3913
8747574,0,3836,4071,3634,3914
8750909,0,3832,4075,3627,3922
