Micros,Pin_State,R_Vis_Value,R_940_Value,T_Vis_Value,T_940_Value
4847166,0,3858,4079,3993,3877
4850503,0,3860,4072,3980,3866
4853840,0,3850,4068,3986,3857
4857177,0,3839,4076,3954,3863
4860513,0,3833,4073,3945,3855
4863848,0,3821,4068,3932,3850
4867184,0,3808,4074,3914,3870
4870519,0,3807,4076,3909,3848
4873854,0,3806,4076,3899,3841
4877191,0,3791,4068,3882,3841
4880527,0,3786,4052,3874,3836
4883862,0,3786,4066,3868,3844
4887199,0,3781,4080,3856,3842
4890536,0,3776,4064,3847,3847
4893872,0,3789,4071,3842,3843
4897208,0,3767,4063,3829,3839
4900543,0,3767,4080,3823,3842
4903878,0,3773,4072,3820,3845
4907213,0,3758,4065,3817,3843
4910550,0,3777,4068,3798,3848
4913886,0,3766,4082,3790,3849
4917222,0,3763,4075,3789,3843
4920558,0,3760,4077,3775,3850
4923893,0,3765,4080,3778,3847
4927228,0,3766,4073,3766,3851
4930565,0,3762,4069,3770,3843
4933902,0,3750,4080,3748,3845
4937238,0,3756,4082,3753,3847
4940575,0,3758,4075,3750,3847
4943912,0,3755,4068,3740,3842
4947247,0,3762,4074,3755,3849
4950584,0,3752,4073,3752,3842
4953921,0,3771,4070,3737,3839
4957256,0,3760,4066,3732,3860
4960591,0,3756,4061,3725,3841
4963926,0,3748,4074,3717,3833
4967262,0,3786,4070,3722,3842
4970597,0,3750,4078,3715,3844
4973934,0,3772,4065,3713,3842
4977270,0,3769,4066,3710,3861
4980607,0,3753,4076,3699,3845
4983947,0,3759,4071,3697,3844
4987284,0,3767,4070,3700,3844
4990620,0,3755,4073,3699,3835
4993957,0,3755,4074,3692,3842
4997292,0,3751,4072,3688,3840
5000627,0,3762,4070,3689,3835
5003963,0,3755,4073,3685,3836
5007299,0,3759,4074,3676,3850
5010634,0,3765,4082,3695,3870
5013970,0,3752,4067,3671,3854
5017307,0,3751,4075,3675,3841
5020644,0,3760,4071,3665,3855
5023980,0,3757,4067,3671,3856
5027315,0,3755,4073,3669,3848
5030652,0,3748,4083,3662,3841
5033988,0,3753,4072,3663,3845
5037323,0,3756,4085,3661,3849
5040658,0,3776,4066,3670,3843
5043994,0,3753,4087,3654,3859
5047329,0,3747,4079,3654,3842
5050666,0,3756,4073,3655,3840
5054004,0,3761,4063,3660,3838
5057339,0,3757,4076,3655,3848
5060676,0,3748,4078,3650,3847
5064012,0,3749,4078,3651,3846
5067348,0,3755,4063,3653,3834
5070683,0,3757,4072,3651,3843
5074019,0,3754,4073,3642,3853
5077354,0,3760,4077,3656,3855
5080691,0,3768,4066,3659,3848
5084026,0,3748,4081,3641,3847
5087362,0,3758,4071,3638,3862
5090699,0,3776,4067,3641,3851
5094035,0,3756,4070,3641,3854
5097371,0,3778,4079,3632,3840
5100706,0,3753,4077,3636,3847
5104043,0,3755,4073,3631,3848
5107379,0,3760,4091,3638,3864
5110714,0,3752,4077,3634,3837
5114050,0,3744,4082,3630,3845
5117385,0,3750,4075,3629,3836
5120720,0,3763,4060,3640,3838
5124056,0,3755,4076,3633,3850
5127393,0,3746,4076,3632,3849
5130730,0,3753,4074,3633,3845
5134066,0,3755,4062,3633,3837
5137403,0,3753,4077,3632,3844
5140739,0,3756,4074,3651,3843
5144075,0,3758,4076,3636,3855
5147410,0,3775,4072,3636,3847
5150745,0,3743,4076,3625,3845
5154081,0,3762,4070,3621,3869
5157418,0,3770,4066,3625,3851
5160755,0,3755,4074,3630,3844
5164091,0,3765,4079,3619,3836
5167427,0,3750,4079,3625,3846
5170762,0,3758,4086,3626,3851
5174098,0,3758,4082,3626,3853
5177433,0,3755,4074,3637,3838
5180768,0,3749,4080,3625,3841
5184104,0,3752,4074,3623,3834
5187440,0,3764,4067,3638,3841
5190775,0,3755,4075,3628,3846
5194111,0,3750,4076,3626,3842
5197446,0,3757,4072,3623,3840
5200783,0,3758,4066,3628,3832
5204119,0,3755,4076,3627,3841
5207454,0,3755,4075,3625,3842
5210791,0,3757,4072,3625,3840
5214127,0,3757,4089,3622,3836
5217464,0,3748,4076,3621,3842
5220800,0,3766,4072,3615,3846
5224136,0,3753,4071,3636,3841
5227471,0,3754,4076,3621,3846
5230806,0,3750,4076,3614,3835
5234142,0,3755,4091,3620,3850
5237479,0,3761,4074,3618,3842
5240814,0,3754,4077,3620,3850
5244149,0,3755,4065,3626,3826
5247484,0,3753,4072,3622,3841
5250819,0,3752,4074,3619,3867
5254155,0,3764,4061,3638,3846
5257490,0,3761,4073,3621,3848
5260825,0,3759,4066,3625,3843
5264161,0,3759,4070,3620,3838
5267498,0,3761,4062,3622,3834
5270835,0,3764,4074,3617,3847
5274171,0,3759,4074,3631,3844
