Micros,Pin_State,R_Vis_Value,R_940_Value,T_Vis_Value,T_940_Value
14080618,0,4053,4075,4034,3907
14083955,0,4041,4076,4025,3899
14087291,0,4023,4078,4003,3887
14090628,0,4010,4074,3996,3885
14093964,0,3995,4058,3982,3882
14097300,0,3986,4070,3978,3875
14100637,0,3982,4074,3956,3876
14103974,0,3963,4067,3954,3868
14107311,0,3955,4079,3936,3889
14110647,0,3956,4074,3914,3877
14113982,0,3945,4066,3908,3866
14117318,0,3934,4067,3892,3867
14120653,0,3933,4067,3901,3866
14123988,0,3941,4069,3876,3862
14127324,0,3926,4072,3875,3865
14130660,0,3904,4077,3866,3875
14133995,0,3910,4075,3864,3871
14137331,0,3901,4076,3845,3871
14140666,0,3892,4082,3843,3874
14144003,0,3895,4069,3836,3874
14147339,0,3889,4068,3838,3869
14150674,0,3881,4069,3813,3881
14154010,0,3880,4076,3819,3878
14157347,0,3885,4070,3811,3874
14160683,0,3863,4085,3802,3873
14164018,0,3869,4084,3800,3865
14167355,0,3874,4073,3793,3874
14170690,0,3879,4070,3795,3863
14174025,0,3864,4066,3777,3869
14177360,0,3865,4073,3775,3864
14180695,0,3883,4086,3775,3871
14184031,0,3865,4067,3777,3891
14187366,0,3860,4075,3752,3871
14190701,0,3846,4083,3767,3862
14194038,0,3841,4085,3752,3861
14197374,0,3849,4080,3746,3874
14200709,0,3850,4076,3744,3869
14204046,0,3847,4074,3741,3864
14207382,0,3852,4071,3739,3890
14210719,0,3844,4073,3732,3863
14214057,0,3843,4065,3732,3865
14217392,0,3840,4061,3724,3864
14220729,0,3848,4065,3721,3871
14224065,0,3836,4080,3719,3870
14227401,0,3832,4082,3717,3867
14230736,0,3840,4067,3719,3871
14234072,0,3844,4074,3712,3872
14237407,0,3855,4067,3721,3862
14240744,0,3851,4071,3693,3864
14244080,0,3835,4075,3704,3867
14247415,0,3831,4066,3707,3852
14250751,0,3853,4070,3695,3875
14254088,0,3836,4075,3694,3859
14257424,0,3839,4083,3686,3876
14260759,0,3839,4066,3719,3863
14264095,0,3831,4074,3683,3873
14267430,0,3828,4075,3685,3870
14270767,0,3834,4072,3686,3856
14274103,0,3829,4073,3683,3864
14277440,0,3830,4075,3704,3863
14280777,0,3831,4071,3687,3867
14284113,0,3824,4067,3675,3865
14287449,0,3825,4067,3678,3893
14290784,0,3823,4080,3675,3872
14294120,0,3852,4069,3681,3866
14297455,0,3825,4066,3665,3869
14300792,0,3834,4073,3671,3869
14304128,0,3823,4083,3665,3877
14307464,0,3844,4061,3673,3874
14310799,0,3829,4074,3670,3871
14314135,0,3822,4090,3667,3870
14317470,0,3826,4068,3668,3891
14320805,0,3826,4077,3666,3858
14324141,0,3828,4076,3664,3870
14327476,0,3820,4079,3648,3873
14330813,0,3827,4076,3650,3876
14334149,0,3823,4077,3657,3875
14337486,0,3825,4075,3660,3871
14340823,0,3830,4071,3654,3871
14344159,0,3824,4076,3652,3861
14347496,0,3827,4073,3646,3871
14350832,0,3818,4070,3647,3865
14354167,0,3827,4086,3675,3888
14357502,0,3824,4070,3651,3874
14360837,0,3840,4074,3656,3871
14364173,0,3821,4064,3658,3889
14367510,0,3820,4082,3648,3875
14370847,0,3842,4070,3636,3870
14374183,0,3832,4069,3658,3870
14377520,0,3833,4071,3654,3871
14380857,0,3836,4080,3643,3868
14384192,0,3819,4075,3661,3868
14387527,0,3822,4074,3647,3870
14390862,0,3822,4095,3644,3876
14394198,0,3825,4089,3642,3878
14397533,0,3826,4073,3645,3890
14400870,0,3824,4081,3647,3873
14404206,0,3833,4071,3647,3869
14407543,0,3818,4093,3639,3876
14410879,0,3823,4076,3644,3869
14414215,0,3829,4073,3645,3863
14417550,0,3836,4075,3648,3874
14420885,0,3819,4095,3641,3876
14424221,0,3824,4076,3636,3872
14427558,0,3825,4073,3642,3859
14430895,0,3816,4075,3656,3864
14434231,0,3824,4070,3647,3867
14437567,0,3824,4057,3646,3860
14440902,0,3838,4071,3646,3866
14444238,0,3825,4078,3639,3865
14447573,0,3814,4066,3654,3862
14450908,0,3814,4067,3644,3882
