Micros,Pin_State,R_Vis_Value,R_940_Value,T_Vis_Value,T_940_Value
4819680,0,4005,4061,3796,623
4823015,0,3992,4064,3782,627
4826351,0,3976,4053,3779,630
4829686,0,3968,4061,3761,642
4833023,0,3950,4062,3748,634
4836359,0,3944,4052,3742,631
4839696,0,3937,4056,3742,630
4843032,0,3927,4060,3718,631
4846369,0,3922,4059,3708,631
4849706,0,3903,4074,3701,631
4853042,0,3891,4068,3686,630
4856378,0,3892,4061,3678,628
4859713,0,3890,4054,3671,629
4863048,0,3881,4054,3651,630
4866384,0,3872,4061,3645,629
4869719,0,3875,4054,3646,626
4873055,0,3867,4064,3633,630
4876392,0,3846,4066,3631,626
4879729,0,3849,4059,3625,623
4883064,0,3847,4073,3615,623
4886400,0,3843,4060,3610,627
4889735,0,3855,4057,3610,626
4893072,0,3838,4060,3593,625
4896408,0,3830,4077,3599,624
4899743,0,3831,4061,3585,624
4903079,0,3826,4068,3580,625
4906416,0,3828,4053,3572,627
4909752,0,3836,4063,3582,629
4913087,0,3825,4060,3569,629
4916423,0,3818,4065,3559,631
4919758,0,3816,4052,3575,628
4923095,0,3818,4061,3571,624
4926431,0,3807,4043,3546,625
4929768,0,3809,4053,3549,630
4933104,0,3822,4054,3547,628
4936440,0,3807,4063,3539,634
4939775,0,3825,4057,3528,629
4943112,0,3807,4059,3532,629
4946448,0,3806,4054,3530,627
4949783,0,3804,4063,3527,630
4953120,0,3800,4054,3517,628
4956456,0,3806,4054,3521,631
4959793,0,3797,4065,3512,632
4963129,0,3812,4059,3509,629
4966466,0,3825,4064,3501,636
4969803,0,3803,4060,3509,633
4973139,0,3801,4068,3500,633
4976475,0,3797,4055,3508,628
4979810,0,3803,4063,3494,632
4983147,0,3793,4046,3498,632
4986483,0,3792,4056,3500,636
4989818,0,3801,4056,3500,632
4993155,0,3797,4060,3494,630
4996491,0,3808,4058,3486,632
4999828,0,3791,4062,3490,631
5003164,0,3807,4058,3490,636
5006500,0,3785,4061,3479,634
5009835,0,3781,4054,3485,633
5013170,0,3786,4064,3483,633
5016506,0,3784,4066,3479,633
5019841,0,3806,4064,3482,634
5023178,0,3788,4066,3470,634
5026514,0,3787,4058,3479,634
5029851,0,3789,4054,3479,635
5033187,0,3778,4055,3480,635
5036524,0,3785,4061,3473,636
5039861,0,3780,4045,3469,634
5043197,0,3777,4059,3475,633
5046534,0,3788,4059,3471,635
5049870,0,3786,4062,3468,633
5053205,0,3809,4055,3463,633
5056541,0,3791,4061,3466,634
5059876,0,3786,4054,3473,633
5063213,0,3790,4060,3456,636
5066549,0,3782,4052,3459,634
5069886,0,3788,4061,3463,632
5073222,0,3783,4069,3461,633
5076559,0,3797,4059,3455,629
5079896,0,3815,4066,3453,631
5083232,0,3789,4060,3462,632
5086569,0,3792,4074,3456,632
5089905,0,3785,4054,3466,628
5093240,0,3789,4061,3478,626
5096576,0,3783,4046,3455,629
5099911,0,3785,4060,3466,627
5103248,0,3791,4054,3462,629
5106584,0,3789,4062,3456,626
5109921,0,3807,4055,3449,628
5113258,0,3790,4057,3457,630
5116594,0,3785,4052,3457,630
5119929,0,3782,4060,3464,627
5123265,0,3778,4052,3455,626
5126601,0,3790,4058,3454,630
5129936,0,3778,4065,3451,627
5133271,0,3803,4064,3449,629
5136607,0,3806,4073,3444,629
5139942,0,3782,4062,3449,628
5143278,0,3797,4053,3456,627
5146615,0,3781,4062,3452,627
5149952,0,3788,4063,3462,625
5153288,0,3783,4042,3447,629
5156624,0,3785,4058,3459,628
5159959,0,3789,4051,3455,630
5163294,0,3796,4058,3450,631
5166630,0,3786,4052,3447,632
5169965,0,3785,4065,3446,631
5173300,0,3788,4080,3442,633
5176636,0,3789,4058,3445,630
5179971,0,3798,4061,3449,633
5183307,0,3780,4064,3444,634
5186643,0,3790,4049,3451,633
5189978,0,3785,4053,3453,634
5193314,0,3797,4050,3455,632
5196650,0,3785,4064,3445,629
5199985,0,3787,4065,3442,630
5203321,0,3800,4056,3456,631
5206656,0,3786,4060,3445,626
5209991,0,3798,4085,3445,626
5213328,0,3786,4062,3456,622
5216665,0,3795,4058,3445,620
5220004,0,3790,4063,3443,625
5223340,0,3790,4052,3456,622
5226675,0,3790,4051,3445,619
5230011,0,3792,4061,3444,619
5233346,0,3789,4062,3444,618
5236682,0,3810,4065,3449,621
5240017,0,3791,4052,3447,617
5243354,0,3790,4061,3438,616
5246690,0,3786,4051,3439,622
5250026,0,3796,4049,3443,617
5253361,0,3790,4053,3449,617
5256696,0,3793,4071,3441,618
5260031,0,3804,4058,3439,614
5263366,0,3789,4064,3442,615
5266701,0,3787,4083,3443,617
5270036,0,3795,4075,3436,617
5273373,0,3792,4061,3445,616
5276709,0,3785,4060,3441,616
5280044,0,3804,4070,3439,616
5283379,0,3789,4082,3438,618
5286715,0,3793,4061,3441,620
5290050,0,3791,4060,3443,620
5293386,0,3784,4055,3436,618
5296723,0,3791,4060,3433,622
5300059,0,3789,4064,3438,615
5303394,0,3783,4074,3440,618
5306730,0,3793,4062,3459,620
5310065,0,3791,4066,3440,617
5313402,0,3805,4067,3447,621
5316738,0,3785,4056,3464,621
5320074,0,3789,4064,3441,622
5323410,0,3787,4055,3429,619
5326745,0,3787,4058,3451,621
5330081,0,3794,4060,3439,621
5333416,0,3791,4069,3438,625
5336751,0,3780,4056,3435,626
5340086,0,3793,4060,3439,622
5343423,0,3784,4063,3439,623
5346759,0,3787,4053,3447,626
5350095,0,3785,4072,3448,626
5353430,0,3790,4059,3440,621
5356766,0,3794,4059,3440,622
5360101,0,3793,4056,3430,624
5363436,0,3788,4090,3441,627
5366772,0,3791,4061,3442,633
5370109,0,3795,4060,3453,623
5373444,0,3798,4058,3431,626
5376779,0,3789,4061,3432,625
5380115,0,3785,4056,3430,627
5383450,0,3785,4056,3442,629
5386785,0,3784,4067,3439,626
5390122,0,3791,4058,3437,619
5393459,0,3780,4070,3454,622
5396795,0,3794,4059,3438,623
5400130,0,3797,4059,3442,621
5403467,0,3794,4051,3444,622
5406803,0,3783,4054,3433,623
5410140,0,3785,4063,3438,625
5413476,0,3797,4059,3442,626
5416813,0,3793,4056,3434,619
5420149,0,3784,4084,3440,626
5423488,0,3788,4060,3452,623
5426825,0,3791,4068,3434,626
5430161,0,3781,4073,3438,624
5433498,0,3787,4052,3442,627
5436834,0,3788,4059,3430,625
5440169,0,3782,4062,3452,625
5443505,0,3791,4061,3440,632
5446840,0,3792,4058,3431,631
5450177,0,3777,4057,3436,634
5453513,0,3783,4063,3439,633
5456848,0,3781,4068,3435,635
5460184,0,3799,4055,3443,637
5463520,0,3805,4069,3440,639
5466855,0,3792,4058,3441,638
5470190,0,3784,4065,3435,642
5473526,0,3779,4054,3435,646
5476861,0,3775,4083,3439,647
5480198,0,3783,4061,3453,645
5483534,0,3779,4056,3439,651
5486871,0,3777,4075,3436,645
5490207,0,3783,4054,3439,650
5493544,0,3788,4057,3431,647
5496881,0,3781,4057,3448,647
5500217,0,3793,4059,3440,651
5503554,0,3787,4058,3434,653
5506890,0,3777,4057,3431,652
5510225,0,3785,4063,3439,651
5513561,0,3784,4066,3439,652
5516896,0,3788,4050,3442,648
5520233,0,3797,4068,3441,656
5523569,0,3786,4062,3440,648
5526905,0,3786,4063,3438,650
5530240,0,3785,4052,3434,651
5533576,0,3807,4057,3441,648
5536911,0,3788,4061,3440,648
5540248,0,3790,4053,3435,651
5543584,0,3786,4059,3434,644
5546921,0,3791,4063,3442,647
5550258,0,3799,4070,3435,645
5553593,0,3789,4064,3440,648
5556928,0,3792,4055,3438,643
5560264,0,3797,4053,3441,645
5563601,0,3789,4066,3454,646
5566938,0,3781,4067,3432,645
5570273,0,3792,4060,3432,646
5573609,0,3793,4059,3441,646
5576946,0,3785,4051,3447,645
5580282,0,3786,4061,3440,644
5583618,0,3791,4049,3443,644
5586953,0,3804,4062,3436,641
5590289,0,3788,4071,3447,643
5593626,0,3784,4065,3435,643
5596962,0,3795,4056,3443,643
5600297,0,3813,4052,3435,643
5603633,0,3790,4062,3440,643
5606968,0,3786,4055,3444,647
5610304,0,3797,4061,3435,641
5613641,0,3787,4061,3440,643
5616978,0,3786,4062,3437,642
5620314,0,3804,4074,3441,644
5623650,0,3788,4050,3447,644
5626985,0,3791,4058,3438,641
5630321,0,3792,4063,3441,645
5633658,0,3785,4051,3434,647
5636994,0,3794,4057,3434,642
5640329,0,3791,4056,3442,640
5643665,0,3782,4073,3444,642
5647002,0,3792,4059,3450,641
5650338,0,3788,4061,3438,640
5653673,0,3803,4067,3438,642
5657009,0,3784,4054,3460,637
5660344,0,3779,4065,3439,638
5663680,0,3784,4051,3428,640
5667015,0,3787,4062,3452,640
5670352,0,3786,4060,3440,640
5673688,0,3792,4067,3438,642
5677024,0,3777,4055,3433,642
5680359,0,3791,4057,3441,638
5683695,0,3794,4055,3440,639
5687030,0,3779,4063,3437,641
5690365,0,3785,4073,3448,641
5693701,0,3790,4059,3439,641
5697036,0,3786,4064,3439,642
5700373,0,3789,4056,3434,643
5703709,0,3781,4081,3437,643
5707046,0,3783,4062,3452,644
5710382,0,3784,4049,3438,643
5713719,0,3779,4078,3435,644
5717055,0,3788,4055,3444,645
5720390,0,3798,4063,3437,649
5723726,0,3788,4066,3433,647
5727061,0,3791,4058,3439,647
5730398,0,3793,4058,3432,649
5733733,0,3777,4062,3440,655
5737069,0,3791,4063,3440,647
5740404,0,3787,4064,3437,649
5743741,0,3790,4060,3438,648
5747077,0,3782,4075,3450,650
5750412,0,3790,4059,3439,643
5753748,0,3790,4062,3439,646
5757083,0,3800,4061,3435,642
5760420,0,3781,4069,3438,641
5763756,0,3782,4061,3440,643
5767093,0,3779,4056,3454,641
5770429,0,3785,4061,3437,644
5773766,0,3788,4087,3437,641
5777101,0,3781,4074,3425,644
5780436,0,3800,4051,3439,641
5783772,0,3786,4065,3437,645
5787107,0,3792,4056,3457,643
5790443,0,3786,4072,3455,643
5793780,0,3785,4063,3438,644
5797116,0,3798,4060,3439,645
5800451,0,3791,4057,3441,647
5803787,0,3787,4053,3436,649
5807122,0,3788,4061,3438,645
5810457,0,3794,4059,3441,647
5813792,0,3789,4070,3442,648
5817129,0,3800,4051,3426,644
5820466,0,3790,4059,3443,648
5823802,0,3810,4072,3433,649
5827138,0,3802,4056,3433,648
5830473,0,3787,4060,3434,648
5833809,0,3783,4052,3449,648
5837144,0,3783,4055,3449,646
5840481,0,3786,4063,3437,647
5843817,0,3789,4060,3454,645
5847154,0,3797,4073,3439,644
5850491,0,3789,4061,3437,648
5853827,0,3790,4060,3442,645
5857163,0,3788,4083,3435,645
5860498,0,3794,4056,3433,643
5863834,0,3790,4062,3439,645
5867169,0,3781,4064,3439,642
5870504,0,3784,4052,3458,643
5873840,0,3778,4059,3430,644
5877175,0,3786,4062,3439,642
5880512,0,3785,4056,3446,639
5883848,0,3785,4053,3447,637
5887184,0,3788,4060,3439,638
5890519,0,3790,4057,3452,640
5893855,0,3798,4053,3436,641
5897190,0,3785,4051,3440,642
5900525,0,3793,4056,3439,641
5903861,0,3804,4048,3441,642
5907198,0,3779,4065,3436,642
5910534,0,3786,4059,3431,640
5913871,0,3785,4058,3443,638
5917207,0,3777,4058,3453,641
5920542,0,3779,4069,3436,639
5923878,0,3787,4055,3440,638
5927213,0,3779,4062,3437,635
5930550,0,3802,4053,3451,634
5933886,0,3786,4065,3437,636
5937223,0,3785,4066,3434,637
5940560,0,3778,4073,3432,635
5943896,0,3783,4062,3436,639
5947233,0,3783,4055,3454,637
5950569,0,3781,4060,3450,637
5953906,0,3785,4060,3455,639
5957242,0,3776,4065,3436,637
5960578,0,3799,4053,3441,641
5963914,0,3783,4051,3445,633
5967249,0,3782,4062,3440,633
5970584,0,3786,4064,3438,635
5973920,0,3784,4055,3432,637
5977255,0,3784,4053,3444,638
5980590,0,3789,4060,3429,640
5983926,0,3782,4080,3447,640
5987262,0,3781,4057,3459,637
5990597,0,3783,4066,3434,637
5993933,0,3787,4067,3438,642
5997270,0,3787,4063,3434,637
6000607,0,3786,4062,3439,633
6003942,0,3783,4053,3434,632
6007278,0,3794,4053,3433,636
6010613,0,3784,4058,3440,642
6013949,0,3790,4055,3445,633
6017285,0,3777,4055,3436,631
6020620,0,3788,4082,3435,633
6023955,0,3789,4059,3440,638
6027292,0,3791,4058,3438,633
6030629,0,3804,4063,3439,631
6033965,0,3787,4075,3434,633
6037300,0,3789,4062,3437,633
6040635,0,3786,4054,3433,634
6043971,0,3794,4069,3452,631
6047306,0,3788,4060,3431,631
6050643,0,3790,4055,3431,631
6053979,0,3811,4055,3431,636
6057314,0,3787,4060,3439,631
6060649,0,3798,4065,3437,634
6063984,0,3797,4061,3452,632
6067319,0,3789,4059,3439,635
6070654,0,3791,4058,3430,631
6073990,0,3792,4044,3443,629
6077325,0,3786,4061,3437,632
6080660,0,3791,4057,3440,633
6083997,0,3781,4059,3436,632
6087333,0,3781,4056,3434,637
6090668,0,3785,4062,3437,631
6094004,0,3786,4061,3435,633
6097339,0,3795,4078,3442,633
6100674,0,3789,4067,3448,632
6104010,0,3786,4058,3439,632
6107345,0,3786,4051,3441,631
6110680,0,3777,4073,3433,629
6114016,0,3787,4059,3432,632
6117351,0,3788,4055,3435,632
6120688,0,3791,4058,3443,627
6124024,0,3795,4057,3441,630
6127359,0,3794,4055,3440,628
6130694,0,3778,4075,3431,630
6134029,0,3781,4069,3437,632
6137366,0,3784,4075,3436,630
6140703,0,3780,4059,3438,633
6144039,0,3780,4072,3441,631
6147376,0,3781,4066,3438,632
6150713,0,3775,4064,3435,633
6154049,0,3788,4057,3438,639
6157386,0,3787,4068,3434,631
6160723,0,3780,4062,3438,638
6164059,0,3784,4063,3438,641
6167394,0,3779,4084,3435,639
6170729,0,3786,4057,3440,637
6174064,0,3790,4056,3433,647
6177401,0,3789,4056,3444,639
6180738,0,3787,4053,3443,642
6184073,0,3786,4055,3441,644
6187409,0,3775,4065,3433,643
6190744,0,3796,4058,3444,643
6194080,0,3784,4062,3448,646
6197415,0,3785,4062,3439,648
6200752,0,3797,4070,3437,646
6204088,0,3797,4057,3441,650
6207423,0,3785,4060,3431,646
6210759,0,3779,4057,3432,648
6214095,0,3790,4055,3445,648
6217430,0,3778,4065,3433,649
6220768,0,3790,4061,3434,651
6224103,0,3788,4054,3435,660
6227438,0,3786,4062,3437,653
6230774,0,3788,4077,3444,660
6234109,0,3784,4050,3436,656
6237446,0,3794,4063,3439,652
6240782,0,3784,4063,3436,655
6244119,0,3790,4072,3429,655
6247456,0,3789,4052,3446,655
6250792,0,3791,4062,3438,660
6254129,0,3790,4065,3441,659
6257466,0,3789,4058,3452,662
6260802,0,3789,4051,3443,662
6264138,0,3786,4061,3431,664
6267473,0,3806,4066,3433,660
6270809,0,3783,4060,3450,658
6274144,0,3780,4062,3437,662
6277479,0,3783,4062,3443,661
6280815,0,3785,4053,3442,662
6284152,0,3790,4058,3439,663
6287488,0,3779,4059,3455,665
6290825,0,3784,4050,3437,663
6294161,0,3788,4062,3437,660
6297496,0,3819,4054,3444,663
6300832,0,3795,4075,3435,664
6304167,0,3788,4061,3432,663
6307504,0,3785,4058,3439,665
6310840,0,3790,4057,3439,662
6314175,0,3791,4055,3437,663
6317512,0,3783,4066,3438,663
6320848,0,3785,4061,3436,664
6324185,0,3781,4051,3448,664
6327521,0,3784,4071,3434,666
6330858,0,3770,4063,3439,661
6334194,0,3780,4061,3453,661
6337529,0,3779,4050,3459,659
6340865,0,3791,4056,3437,658
6344202,0,3779,4054,3433,657
6347539,0,3784,4063,3451,660
6350875,0,3784,4058,3443,656
6354211,0,3792,4057,3441,660
6357547,0,3794,4050,3433,658
6360883,0,3788,4068,3436,657
6364219,0,3790,4059,3438,664
6367554,0,3791,4057,3440,659
6370890,0,3801,4061,3437,655
6374225,0,3789,4070,3435,657
6377562,0,3784,4058,3439,655
6380898,0,3786,4050,3449,658
6384235,0,3799,4049,3439,659
6387571,0,3797,4056,3445,655
6390908,0,3786,4061,3456,656
6394245,0,3784,4055,3458,656
6397582,0,3789,4058,3442,656
6400918,0,3781,4054,3433,658
6404253,0,3783,4063,3450,654
6407588,0,3787,4061,3439,662
6410924,0,3789,4054,3446,655
6414260,0,3792,4052,3436,660
6417595,0,3784,4079,3437,657
6420931,0,3787,4059,3440,659
6424268,0,3791,4058,3440,655
6427604,0,3795,4055,3435,657
6430941,0,3788,4053,3443,656
6434277,0,3788,4062,3446,655
6437612,0,3787,4050,3445,652
6440948,0,3789,4076,3436,656
6444283,0,3778,4064,3434,651
6447620,0,3784,4060,3446,655
6450956,0,3783,4049,3439,656
6454292,0,3789,4062,3439,657
6457627,0,3780,4053,3442,657
6460963,0,3780,4050,3440,656
6464298,0,3785,4062,3439,655
6467633,0,3783,4062,3436,656
6470969,0,3802,4052,3433,659
6474304,0,3783,4057,3439,657
6477641,0,3782,4062,3438,654
6480977,0,3784,4061,3438,657
6484313,0,3789,4051,3433,653
6487648,0,3789,4053,3445,652
6490984,0,3782,4059,3431,651
6494319,0,3776,4046,3444,653
6497656,0,3784,4073,3434,657
6500992,0,3779,4066,3439,654
6504329,0,3785,4058,3444,648
6507666,0,3781,4055,3434,652
6511004,0,3779,4064,3436,651
6514339,0,3787,4070,3443,655
6517676,0,3794,4074,3431,652
6521012,0,3784,4061,3436,651
6524348,0,3783,4062,3435,654
6527683,0,3774,4070,3431,651
6531019,0,3784,4050,3443,654
6534354,0,3784,4062,3442,654
6537689,0,3781,4062,3440,656
6541025,0,3784,4054,3449,657
6544362,0,3779,4059,3437,653
6547698,0,3787,4060,3433,657
6551035,0,3810,4062,3431,653
6554371,0,3801,4053,3444,657
6557706,0,3790,4060,3442,655
6561042,0,3790,4059,3443,657
6564377,0,3807,4057,3431,661
6567714,0,3787,4061,3441,655
6571050,0,3801,4065,3444,657
6574386,0,3797,4064,3441,654
6577721,0,3788,4070,3436,656
6581057,0,3791,4057,3441,658
6584392,0,3772,4074,3430,656
6587727,0,3775,4063,3436,656
6591063,0,3784,4075,3437,657
6594398,0,3780,4062,3436,655
6597734,0,3783,4076,3441,658
6601070,0,3789,4058,3441,655
6604405,0,3779,4066,3437,656
6607740,0,3799,4057,3432,657
6611076,0,3801,4052,3440,650
6614411,0,3785,4060,3442,653
6617748,0,3783,4053,3451,650
6621084,0,3779,4067,3435,648
6624420,0,3783,4059,3433,650
6627755,0,3784,4057,3434,654
6631091,0,3788,4058,3452,648
6634426,0,3775,4063,3435,649
6637761,0,3792,4055,3441,648
6641097,0,3781,4067,3439,649
6644434,0,3784,4062,3437,653
6647770,0,3788,4063,3440,652
6651106,0,3791,4058,3444,651
6654441,0,3794,4061,3435,652
6657776,0,3790,4060,3440,649
6661112,0,3785,4061,3436,650
6664447,0,3813,4054,3455,652
6667784,0,3795,4061,3437,650
6671120,0,3791,4058,3448,649
6674455,0,3786,4067,3437,647
6677792,0,3781,4055,3455,647
6681128,0,3788,4064,3437,648
6684464,0,3785,4052,3449,657
6687799,0,3787,4049,3439,649
6691135,0,3785,4063,3436,650
6694470,0,3795,4045,3439,652
6697805,0,3796,4067,3436,651
6701141,0,3790,4059,3429,652
6704477,0,3789,4058,3442,652
6707812,0,3787,4063,3435,650
6711148,0,3788,4051,3434,654
6714483,0,3806,4058,3444,650
6717820,0,3786,4059,3430,653
6721156,0,3802,4066,3435,649
6724492,0,3785,4055,3444,646
6727827,0,3790,4058,3440,645
6731164,0,3790,4056,3441,649
6734500,0,3795,4060,3430,649
6737835,0,3793,4059,3438,646
6741171,0,3795,4058,3437,647
6744506,0,3801,4061,3446,644
6747843,0,3799,4061,3441,646
6751179,0,3798,4057,3438,654
6754514,0,3782,4068,3431,647
6757851,0,3793,4060,3438,650
6761187,0,3790,4056,3442,648
6764522,0,3790,4061,3434,651
6767857,0,3804,4063,3433,647
6771192,0,3793,4061,3439,649
6774529,0,3790,4064,3437,647
6777866,0,3800,4058,3447,650
6781203,0,3787,4065,3434,640
6784540,0,3789,4058,3439,647
6787876,0,3792,4053,3439,654
6791212,0,3783,4062,3437,650
6794548,0,3791,4060,3429,649
6797883,0,3781,4051,3448,647
6801218,0,3796,4051,3432,650
6804553,0,3782,4065,3436,649
6807890,0,3792,4061,3436,649
6811225,0,3787,4054,3445,652
6814562,0,3797,4059,3439,651
6817898,0,3782,4064,3434,649
6821235,0,3790,4059,3439,648
6824571,0,3780,4053,3436,649
6827906,0,3785,4061,3434,649
6831241,0,3788,4063,3436,647
6834576,0,3779,4071,3440,645
6837911,0,3784,4061,3451,646
6841248,0,3788,4058,3436,643
6844585,0,3785,4052,3433,645
6847922,0,3783,4057,3449,644
6851257,0,3784,4060,3432,643
6854592,0,3780,4060,3452,642
6857927,0,3796,4068,3431,642
6861262,0,3777,4068,3434,639
6864597,0,3790,4060,3437,643
