Micros,Pin_State,R_Vis_Value,R_940_Value,T_Vis_Value,T_940_Value
12370233,0,3976,4081,3887,1943
12373568,0,3962,4055,3854,1943
12376905,0,3935,4064,3848,1941
12380241,0,3943,4052,3848,1941
12383576,0,3927,4057,3829,1940
12386912,0,3916,4058,3815,1940
12390248,0,3908,4059,3795,1945
12393585,0,3883,4055,3790,1949
12396921,0,3879,4058,3784,1943
12400257,0,3882,4064,3772,1946
12403593,0,3871,4051,3767,1947
12406930,0,3882,4069,3766,1953
12410266,0,3851,4062,3741,1949
12413601,0,3839,4069,3735,1950
12416937,0,3842,4042,3732,1952
12420272,0,3857,4061,3714,1952
12423609,0,3835,4063,3711,1955
12426945,0,3842,4058,3714,1951
12430280,0,3820,4056,3699,1954
12433617,0,3830,4059,3693,1952
12436953,0,3836,4055,3692,1956
12440289,0,3843,4067,3688,1955
12443624,0,3809,4062,3666,1963
12446960,0,3806,4055,3666,1959
12450295,0,3803,4070,3671,1953
12453630,0,3802,4047,3659,1960
12456966,0,3806,4060,3650,1956
12460302,0,3790,4063,3644,1961
12463637,0,3801,4059,3631,1958
12466973,0,3799,4051,3638,1961
12470308,0,3792,4059,3635,1958
12473645,0,3804,4061,3626,1960
12476981,0,3787,4051,3617,1970
12480318,0,3781,4055,3622,1961
12483654,0,3780,4055,3614,1963
12486991,0,3782,4053,3619,1960
12490328,0,3775,4069,3602,1967
12493665,0,3776,4057,3616,1964
12497003,0,3778,4075,3595,1962
12500340,0,3776,4062,3595,1966
12503677,0,3774,4054,3591,1966
12507013,0,3769,4061,3610,1966
12510349,0,3770,4064,3586,1970
12513684,0,3766,4059,3586,1965
12517020,0,3776,4052,3586,1965
12520355,0,3772,4075,3588,1966
12523690,0,3770,4064,3576,1968
12527026,0,3772,4060,3575,1969
12530361,0,3760,4052,3566,1964
12533697,0,3777,4060,3573,1970
12537033,0,3766,4058,3567,1973
12540368,0,3767,4061,3567,1971
12543703,0,3772,4061,3559,1975
12547039,0,3760,4060,3555,1975
12550376,0,3764,4067,3554,1974
12553713,0,3762,4058,3568,1969
12557049,0,3768,4056,3555,1978
12560386,0,3760,4064,3552,1976
12563723,0,3764,4070,3545,1973
12567058,0,3761,4066,3546,1975
12570393,0,3764,4062,3540,1978
12573728,0,3769,4057,3549,1987
12577063,0,3762,4054,3542,1973
12580400,0,3758,4051,3547,1975
12583737,0,3769,4064,3538,1980
12587073,0,3759,4054,3556,1979
12590408,0,3773,4054,3555,1979
12593744,0,3759,4052,3543,1973
12597079,0,3764,4064,3538,1984
12600414,0,3767,4051,3541,1973
12603749,0,3767,4058,3537,1974
12607084,0,3762,4053,3530,1972
12610421,0,3755,4055,3538,1980
12613758,0,3755,4063,3532,1972
12617093,0,3771,4053,3533,1971
12620428,0,3753,4060,3531,1988
12623763,0,3770,4061,3533,1967
12627099,0,3761,4059,3530,1969
12630434,0,3757,4053,3534,1967
12633771,0,3770,4056,3524,1980
12637107,0,3762,4062,3528,1970
12640444,0,3772,4058,3527,1968
12643781,0,3758,4055,3536,1974
12647118,0,3750,4059,3521,1978
12650454,0,3768,4059,3527,1976
12653789,0,3764,4067,3526,1975
12657124,0,3765,4051,3539,1971
12660459,0,3758,4060,3522,1973
12663794,0,3751,4052,3534,1980
12667130,0,3779,4073,3516,1976
12670466,0,3762,4052,3524,1976
12673801,0,3767,4058,3521,1977
12677137,0,3747,4068,3520,1973
12680472,0,3752,4064,3518,1974
12683807,0,3763,4062,3510,1971
12687143,0,3759,4061,3517,1970
12690479,0,3762,4052,3534,1972
12693814,0,3763,4058,3520,1963
12697150,0,3755,4059,3508,1963
12700485,0,3761,4048,3528,1966
12703820,0,3777,4054,3513,1972
12707155,0,3755,4061,3515,1959
12710490,0,3759,4060,3515,1951
12713827,0,3760,4061,3512,1952
12717163,0,3767,4058,3513,1957
12720498,0,3769,4071,3518,1955
12723833,0,3783,4065,3518,1963
12727169,0,3752,4061,3512,1952
12730506,0,3748,4092,3510,1956
12733842,0,3757,4067,3523,1956
12737177,0,3757,4061,3511,1953
12740514,0,3765,4058,3516,1955
12743851,0,3762,4060,3514,1953
12747187,0,3753,4066,3512,1953
12750523,0,3764,4061,3512,1949
12753858,0,3756,4059,3510,1953
12757194,0,3761,4063,3508,1952
12760529,0,3765,4051,3510,1959
12763865,0,3753,4062,3511,1949
12767201,0,3757,4062,3511,1957
12770536,0,3758,4073,3509,1950
12773871,0,3764,4058,3511,1953
12777207,0,3758,4055,3502,1946
12780542,0,3749,4055,3512,1955
12783879,0,3766,4052,3515,1953
12787214,0,3758,4051,3511,1954
12790549,0,3756,4080,3503,1972
12793886,0,3756,4061,3510,1953
12797222,0,3757,4053,3509,1953
12800558,0,3766,4062,3510,1951
12803893,0,3762,4072,3510,1958
12807229,0,3754,4062,3508,1957
12810566,0,3755,4055,3511,1954
12813906,0,3764,4075,3505,1946
12817241,0,3760,4057,3517,1955
12820576,0,3750,4065,3507,1957
12823912,0,3765,4058,3508,1958
12827248,0,3754,4045,3507,1954
12830584,0,3754,4059,3507,1959
12833921,0,3753,4076,3518,1958
12837258,0,3748,4050,3521,1958
12840595,0,3760,4061,3512,1965
12843931,0,3751,4071,3502,1963
12847267,0,3752,4045,3510,1957
12850602,0,3759,4062,3527,1961
12853938,0,3762,4060,3509,1964
12857273,0,3753,4065,3505,1966
12860608,0,3757,4046,3530,1962
12863943,0,3753,4059,3508,1955
