Micros,Pin_State,R_Vis_Value,R_940_Value,T_Vis_Value,T_940_Value
5795346,0,3971,4077,4022,3932
5798683,0,3996,4084,4002,3927
5802019,0,4012,4083,3992,3917
5805354,0,3994,4067,3988,3905
5808691,0,3942,4089,3967,3893
5812027,0,3922,4086,3949,3900
5815364,0,3943,4077,3959,3900
5818700,0,3971,4084,3929,3909
5822036,0,3946,4069,3933,3901
5825371,0,3904,4076,3908,3897
5828706,0,3901,4072,3912,3910
5832042,0,3927,4066,3896,3890
5835377,0,3947,4073,3879,3899
5838714,0,3921,4068,3875,3907
5842051,0,3882,4080,3855,3886
5845388,0,3869,4074,3855,3904
5848724,0,3903,4071,3848,3889
5852061,0,3918,4079,3849,3908
5855398,0,3903,4078,3828,3896
5858735,0,3868,4076,3822,3888
5862071,0,3845,4079,3813,3894
5865408,0,3884,4074,3836,3915
5868743,0,3917,4092,3802,3897
5872078,0,3903,4075,3806,3890
5875413,0,3869,4084,3796,3886
5878748,0,3836,4091,3788,3891
5882084,0,3882,4072,3785,3891
5885419,0,3928,4071,3783,3886
5888754,0,3896,4087,3795,3898
5892090,0,3854,4076,3756,3893
5895425,0,3831,4068,3752,3889
5898760,0,3893,4070,3769,3885
5902096,0,3908,4076,3751,3895
5905433,0,3896,4063,3758,3891
5908769,0,3849,4073,3739,3909
5912105,0,3834,4071,3737,3895
5915442,0,3870,4070,3739,3893
5918778,0,3894,4087,3726,3888
5922113,0,3887,4079,3729,3894
5925448,0,3848,4076,3722,3882
5928785,0,3832,4074,3721,3892
5932121,0,3867,4070,3711,3915
5935457,0,3896,4083,3714,3897
5938792,0,3897,4075,3713,3895
5942127,0,3840,4060,3714,3890
5945462,0,3838,4077,3699,3897
5948797,0,3865,4075,3700,3887
5952132,0,3890,4079,3698,3899
5955469,0,3887,4075,3706,3889
5958805,0,3845,4073,3697,3890
5962142,0,3847,4076,3688,3886
5965478,0,3855,4083,3704,3899
5968813,0,3897,4075,3682,3901
5972149,0,3880,4062,3687,3889
5975484,0,3847,4086,3679,3884
5978824,0,3828,4077,3679,3896
5982159,0,3872,4074,3682,3891
5985494,0,3894,4077,3677,3895
5988830,0,3884,4063,3680,3888
5992167,0,3841,4076,3675,3890
5995504,0,3831,4080,3670,3894
5998840,0,3884,4077,3668,3883
6002177,0,3899,4079,3682,3889
6005513,0,3886,4074,3661,3897
6008850,0,3838,4059,3677,3889
6012186,0,3826,4090,3667,3890
6015521,0,3861,4076,3663,3891
6018857,0,3889,4075,3661,3894
6022192,0,3907,4069,3658,3887
6025529,0,3840,4076,3657,3891
6028865,0,3848,4084,3662,3888
