Micros,Pin_State,R_Vis_Value,R_940_Value,T_Vis_Value,T_940_Value
13002887,0,4023,4077,4032,3891
13006222,0,4003,4079,4010,3899
13009557,0,3992,4070,4008,3885
13012893,0,3989,4074,3985,3877
13016229,0,3979,4071,3980,3866
13019564,0,3951,4078,3961,3865
13022899,0,3956,4071,3955,3877
13026235,0,3946,4081,3943,3862
13029572,0,3942,4074,3932,3867
13032908,0,3935,4058,3944,3865
13036243,0,3913,4081,3910,3859
13039578,0,3917,4079,3903,3858
13042913,0,3936,4074,3887,3854
13046249,0,3912,4073,3879,3868
13049586,0,3894,4081,3872,3857
13052923,0,3885,4075,3871,3854
13056258,0,3884,4066,3861,3850
13059595,0,3874,4078,3854,3857
13062932,0,3880,4088,3848,3852
13066269,0,3874,4076,3851,3848
13069606,0,3865,4081,3828,3856
13072942,0,3885,4067,3815,3859
13076277,0,3866,4092,3812,3865
13079613,0,3863,4067,3817,3853
13082949,0,3858,4074,3803,3853
13086285,0,3851,4070,3809,3843
13089620,0,3854,4081,3788,3856
13092955,0,3849,4076,3788,3854
13096291,0,3851,4075,3782,3856
13099628,0,3833,4085,3784,3848
13102965,0,3843,4076,3771,3852
13106300,0,3835,4077,3763,3853
13109637,0,3852,4071,3776,3872
13112973,0,3846,4070,3754,3857
13116309,0,3839,4075,3752,3853
13119644,0,3838,4063,3751,3850
13122980,0,3830,4070,3749,3848
13126315,0,3843,4072,3744,3852
13129650,0,3844,4078,3743,3858
13132987,0,3841,4070,3731,3851
13136324,0,3835,4071,3730,3849
13139660,0,3825,4071,3719,3855
13142995,0,3827,4070,3730,3865
13146331,0,3829,4084,3720,3855
13149666,0,3827,4073,3718,3874
13153005,0,3831,4079,3712,3864
13156341,0,3822,4077,3710,3852
13159676,0,3826,4074,3702,3857
13163012,0,3827,4076,3718,3851
13166348,0,3837,4068,3709,3847
13169683,0,3821,4076,3704,3851
13173018,0,3823,4073,3705,3851
13176353,0,3816,4068,3692,3847
13179688,0,3826,4089,3710,3874
13183024,0,3826,4074,3690,3853
13186359,0,3820,4092,3683,3860
13189695,0,3816,4067,3683,3856
13193030,0,3821,4078,3700,3851
13196366,0,3821,4081,3686,3855
13199701,0,3812,4087,3677,3872
13203036,0,3819,4077,3678,3858
13206373,0,3814,4069,3670,3865
13209709,0,3819,4065,3674,3855
13213044,0,3825,4073,3676,3862
13216380,0,3821,4067,3668,3846
13219717,0,3817,4070,3677,3851
13223057,0,3817,4076,3670,3854
13226393,0,3820,4066,3676,3853
13229730,0,3820,4086,3669,3865
13233066,0,3825,4073,3669,3853
13236402,0,3816,4070,3663,3857
13239737,0,3815,4093,3662,3862
13243073,0,3815,4075,3666,3856
13246408,0,3819,4073,3661,3855
13249743,0,3818,4088,3657,3860
13253079,0,3814,4066,3651,3837
13256416,0,3823,4079,3660,3851
13259753,0,3819,4073,3655,3860
13263089,0,3814,4077,3664,3868
13266424,0,3805,4071,3649,3874
13269759,0,3813,4076,3660,3848
13273094,0,3814,4076,3647,3867
13276429,0,3821,4064,3653,3856
13279765,0,3818,4072,3653,3848
13283102,0,3811,4079,3660,3857
13286439,0,3825,4072,3644,3850
13289776,0,3815,4074,3650,3859
13293112,0,3816,4067,3657,3847
13296447,0,3826,4092,3648,3860
13299782,0,3825,4071,3651,3852
13303118,0,3814,4089,3644,3856
13306453,0,3812,4070,3650,3852
13309790,0,3826,4071,3631,3864
13313126,0,3819,4076,3639,3859
13316463,0,3817,4067,3650,3851
13319799,0,3811,4077,3643,3847
13323135,0,3819,4073,3638,3859
13326470,0,3818,4074,3637,3857
13329805,0,3815,4073,3647,3856
13333141,0,3829,4069,3633,3854
13336476,0,3814,4074,3642,3844
13339811,0,3806,4072,3655,3851
13343147,0,3814,4070,3644,3860
13346483,0,3821,4075,3643,3875
13349818,0,3822,4073,3633,3876
13353154,0,3829,4068,3649,3845
13356489,0,3814,4076,3636,3853
13359825,0,3816,4073,3631,3855
13363161,0,3811,4070,3657,3863
13366498,0,3823,4072,3639,3850
13369835,0,3816,4074,3629,3854
13373171,0,3814,4064,3640,3852
13376507,0,3834,4087,3637,3849
13379842,0,3816,4075,3632,3859
13383177,0,3813,4069,3635,3855
13386512,0,3821,4073,3646,3875
13389849,0,3811,4071,3649,3861
13393185,0,3817,4077,3654,3848
13396520,0,3815,4067,3642,3845
13399856,0,3827,4067,3634,3879
13403193,0,3815,4074,3637,3846
13406529,0,3827,4084,3644,3862
13409864,0,3814,4084,3632,3875
13413200,0,3816,4077,3637,3854
13416535,0,3820,4067,3636,3844
13419870,0,3808,4069,3659,3847
13423206,0,3820,4073,3634,3853
13426543,0,3816,4074,3635,3847
13429879,0,3820,4072,3637,3849
13433216,0,3815,4079,3633,3854
13436552,0,3814,4077,3628,3854
13439887,0,3817,4077,3629,3847
13443223,0,3814,4070,3637,3844
13446558,0,3817,4075,3639,3852
13449895,0,3815,4073,3632,3848
13453231,0,3805,4069,3626,3849
13456568,0,3817,4070,3641,3852
13459905,0,3818,4077,3635,3845
13463241,0,3816,4075,3625,3861
13466577,0,3823,4068,3617,3864
13469912,0,3816,4077,3631,3843
13473247,0,3823,4069,3641,3849
